order_id,date,time
1,2016-01-01,11:38:36
2,2016-01-01,00:00:00
4,2016-01-01,12:16:31
5,2016-01-01,00:00:00
6,2016-01-01,12:29:36
7,2016-01-01,12:50:00
8,2016-01-01,12:51:00
9,2016-01-01,12:52:01
13,2016-01-01,13:11:55
14,2016-01-01,13:14:19
15,2016-01-01,13:33:00
16,2016-01-01,00:00:00
17,2016-01-01,00:00:00
18,2016-01-01,00:00:00
19,2016-01-01,13:59:00
20,2016-01-01,00:00:00
21,2016-01-01,14:14:29
22,2016-01-01,14:16:26
23,2016-01-01,00:00:00
24,2016-01-01,14:23:00
25,2016-01-01,14:44:00
26,2016-01-01,14:54:26
27,2016-01-01,15:11:00
28,2016-01-01,15:35:00
29,2016-01-01,15:41:01
30,2016-01-01,00:00:00
31,2016-01-01,00:00:00
32,2016-01-01,15:53:18
34,2016-01-01,00:00:00
35,2016-01-01,16:32:00
37,2016-01-01,16:56:09
39,2016-01-01,17:07:23
40,2016-01-01,00:00:00
41,2016-01-01,17:15:00
42,2016-01-01,17:28:09
43,2016-01-01,17:38:00
45,2016-01-01,00:00:00
46,2016-01-01,18:25:00
47,2016-01-01,18:26:34
49,2016-01-01,18:33:00
50,2016-01-01,18:41:01
52,2016-01-01,18:53:02
53,2016-01-01,18:54:17
54,2016-01-01,19:01:00
55,2016-01-01,19:03:19
56,2016-01-01,19:07:00
57,2016-01-01,19:10:51
58,2016-01-01,19:30:40
59,2016-01-01,19:40:08
60,2016-01-01,20:05:16
61,2016-01-01,20:08:43
62,2016-01-01,20:50:16
63,2016-01-01,20:51:42
64,2016-01-01,20:52:08
65,2016-01-01,21:16:00
66,2016-01-01,21:47:55
67,2016-01-01,22:03:40
68,2016-01-01,22:07:32
69,2016-01-01,00:00:00
70,2016-01-02,11:38:51
71,2016-01-02,11:40:50
72,2016-01-02,11:57:00
73,2016-01-02,11:58:56
74,2016-02-01,00:00:00
75,2016-01-02,12:10:15
76,2016-01-02,12:21:17
77,2016-01-02,12:22:00
78,2016-01-02,12:28:14
79,2016-02-01,00:00:00
80,2016-01-02,12:35:38
81,2016-01-02,12:40:00
82,2016-01-02,12:45:51
83,2016-01-02,12:53:27
84,2016-01-02,13:13:41
85,2016-01-02,13:34:00
86,2016-01-02,13:40:00
87,2016-02-01,00:00:00
89,2016-01-02,14:30:19
90,2016-01-02,15:08:00
91,2016-01-02,15:14:43
92,2016-02-01,00:00:00
93,2016-01-02,15:29:31
95,2016-01-02,16:18:04
96,2016-01-02,16:21:00
99,2016-02-01,00:00:00
101,2016-01-02,17:51:33
102,2016-02-01,00:00:00
103,2016-02-01,00:00:00
104,2016-01-02,18:02:00
105,2016-01-02,18:12:01
106,2016-01-02,18:12:13
107,2016-01-02,18:25:09
109,2016-01-02,18:27:50
110,2016-01-02,18:36:19
111,2016-01-02,18:38:01
112,2016-02-01,00:00:00
113,2016-01-02,18:50:21
114,2016-02-01,00:00:00
115,2016-01-02,19:05:17
116,2016-01-02,19:18:49
117,2016-01-02,19:23:02
119,2016-01-02,19:32:29
120,2016-01-02,19:35:07
121,2016-01-02,19:38:48
122,2016-01-02,19:50:00
123,2016-01-02,20:12:00
124,2016-01-02,20:12:34
125,2016-01-02,20:31:06
126,2016-01-02,20:53:42
127,2016-02-01,00:00:00
128,2016-01-02,21:05:06
129,2016-01-02,21:13:00
130,2016-01-02,21:14:55
132,2016-01-02,21:42:45
133,2016-01-02,22:00:17
134,2016-01-02,22:13:24
137,2016-01-03,11:34:10
138,2016-01-03,11:44:00
139,2016-03-01,00:00:00
140,2016-01-03,12:26:44
141,2016-01-03,13:16:01
142,2016-01-03,13:33:59
144,2016-01-03,13:44:00
145,2016-03-01,00:00:00
146,2016-01-03,14:22:00
147,2016-01-03,14:32:51
149,2016-01-03,14:48:45
150,2016-03-01,00:00:00
151,2016-01-03,15:09:00
153,2016-01-03,15:16:34
154,2016-01-03,15:22:43
155,2016-01-03,15:28:00
156,2016-01-03,15:42:19
159,2016-01-03,15:59:22
161,2016-01-03,16:43:00
162,2016-03-01,00:00:00
164,2016-01-03,16:56:00
165,2016-01-03,16:57:00
166,2016-01-03,16:58:51
167,2016-03-01,00:00:00
168,2016-01-03,17:02:27
170,2016-01-03,17:21:00
171,2016-03-01,00:00:00
172,2016-01-03,17:29:24
174,2016-01-03,17:37:00
175,2016-03-01,00:00:00
178,2016-01-03,18:15:03
179,2016-01-03,18:20:14
180,2016-01-03,18:33:00
182,2016-01-03,18:50:10
184,2016-01-03,18:59:00
185,2016-03-01,00:00:00
186,2016-01-03,19:36:00
187,2016-01-03,19:37:00
188,2016-01-03,20:08:39
189,2016-01-03,20:12:00
190,2016-01-03,20:14:00
192,2016-01-03,20:30:08
193,2016-03-01,00:00:00
194,2016-01-03,21:21:24
195,2016-03-01,00:00:00
196,2016-01-03,21:40:00
197,2016-01-03,21:47:00
198,2016-01-03,21:55:42
199,2016-03-01,00:00:00
201,2016-01-03,22:29:00
202,2016-01-03,22:50:29
